"Sample","Block","ISP","trait","family","PhotoshopNames","animal","TreeOrder","Sample_Full"
"S. schleiferi spp coagulans",1,0,"ST_Bin","threshold","S. schleiferi spp coagulans","NCTC12218",3,"NCTC12218"
"S. xylosus",1,0,"ST_Bin","threshold","S. xylosus","NCTC11043",8,"NCTC11043"
"S. pseudointermedius",1,0,"ST_Bin","threshold","S. pseudointermedius","DSM21284",2,"DSM21284"
"S. saprophyticus spp saprophyticus",1,1,"ST_Bin","threshold","S. saprophyticus spp saprophyticus","NCTC7292",13,"NCTC7292"
"S. schleiferi spp schleiferi",1,1,"ST_Bin","threshold","S, schleiferi spp schleiferi","DSM6628",4,"DSM6628"
"S. haemolyticus",1,0,"ST_Bin","threshold","S. haemolyticus","NCTC11042",15,"NCTC11042"
"S. simulans",1,0,"ST_Bin","threshold","S. simulans","NCTC11046",5,"NCTC11046"
"8325-4",1,1,"ST_Bin","threshold","S. aureus (8325-4)","83254",57,"83254"
"JW_31330_O_BHY_1",2,1,"ST_Bin","threshold","S. aureus (JW31330OBHY1)","JW31330OBHY1",38,"JW31330OBHY1"
"JW_31330_L_BHY_2",2,1,"ST_Bin","threshold","S. aureus (JW31330LBHY2)","JW31330LBHY2",37,"JW31330LBHY2"
"JW_30866_O BHY_3",2,1,"ST_Bin","threshold","S. aureus (JW30866OBHY3)","JW30866OBHY3",35,"JW30866OBHY3"
"JW 32660_O5",2,1,"ST_Bin","threshold","S. aureus (JW32660O5)","JW32660O5",36,"JW32660O5"
"B_142_S1",2,1,"ST_Bin","threshold","S. aureus (B142S1)","B142S1",47,"B142S1"
"B_128_S3",2,1,"ST_Bin","threshold","S. aureus (B128S3)","B128S3",46,"B128S3"
"AR_056_18_O1",2,1,"ST_Bin","threshold","S. aureus (AR05618O1)","AR05618O1",34,"AR05618O1"
"AR_05_S1",2,0,"ST_Bin","threshold","S. aureus (AR05S1)","AR05S1",30,"AR05S1"
"AR_039_18_O1",2,0,"ST_Bin","threshold","S. aureus (AR03918O1)","AR03918O1",32,"AR03918O1"
"SAR_10_18_S1",2,1,"ST_Bin","threshold","S. aureus (SAR1018S1)","SAR1018S1",54,"SAR1018S1"
"SAR_12_18_N_1",2,0,"ST_Bin","threshold","S. aureus (SAR1218N1)","SAR1218N1",33,"SAR1218N1"
"SAR_14_18_N1",2,1,"ST_Bin","threshold","S. aureus (SAR1418N1)","SAR1418N1",29,"SAR1418N1"
"DAR_04_18_1_C1",2,1,"ST_Bin","threshold","S. aureus (DAR04181C1)","DAR04181C1",55,"DAR04181C1"
"DAR_09_18_1_3",2,0,"ST_Bin","threshold","S. aureus (DAR091813)","DAR091813",31,"DAR091813"
"DAR_06_18_1_LC1",2,1,"ST_Bin","threshold","S. aureus (DAR06181LC1)","DAR06181LC1",28,"DAR06181LC1"
"2_7_1_Y",2,1,"ST_Bin","threshold","S. kloosii","271Y",6,"271Y"
"27_4_20_LC",2,0,"ST_Bin","threshold","S. simiae","27420LC",17,"27420LC"
"21_11_F7_LW",2,1,"ST_Bin","threshold","S. sciuri","2111F7LW",1,"2111F7LW"
"27_4_5_SW",2,1,"ST_Bin","threshold","S. napaliensis","2745SW",7,"2745SW"
"USFL008",2,0,"ST_Bin","threshold","S. aureus (USFL008)","USFL008",64,"USFL008"
"USFL009",2,0,"ST_Bin","threshold","S. aureus (USFL009)","USFL009",60,"USFL009"
"USFL012",2,0,"ST_Bin","threshold","S. aureus (USFL012)","USFL012",58,"USFL012"
"USFL016",2,0,"ST_Bin","threshold","S. aureus (USFL016)","USFL016",63,"USFL016"
"USFL018",2,0,"ST_Bin","threshold","S. aureus (USFL018)","USFL018",62,"USFL018"
"USFL020",2,0,"ST_Bin","threshold","S. aureus (USFL020)","USFL020",59,"USFL020"
"EOE 3",2,1,"ST_Bin","threshold","S. aureus (EOE003)","EOE003",22,"EOE003"
"EOE 23",2,1,"ST_Bin","threshold","S. aureus (EOE023)","EOE023",21,"EOE023"
"EOE 30",2,1,"ST_Bin","threshold","S. aureus (EOE030)","EOE030",23,"EOE030"
"EOE 35",2,1,"ST_Bin","threshold","S. aureus (EOE035)","EOE035",24,"EOE035"
"EOE 41",2,1,"ST_Bin","threshold","S. aureus (EOE041)","EOE041",19,"EOE041"
"EOE 42",2,1,"ST_Bin","threshold","S. aureus (EOE042)","EOE042",20,"EOE042"
"ASARM 61",2,1,"ST_Bin","threshold","S. aureus (ASARM61)","ASARM61",42,"ASARM61"
"ASARM 70",2,1,"ST_Bin","threshold","S. aureus (ASARM70)","ASARM70",40,"ASARM70"
"ASARM 71",2,1,"ST_Bin","threshold","S. aureus (ASARM71)","ASARM71",43,"ASARM71"
"ASARM 73",2,1,"ST_Bin","threshold","S. aureus (ASARM73)","ASARM73",39,"ASARM73"
"ASARM 74",2,1,"ST_Bin","threshold","S. aureus (ASARM74)","ASARM74",41,"ASARM74"
"Sa_TPS 3026 (JKD6159)",2,0,"ST_Bin","threshold","S. aureus (SaTPS3026)","SaTPS3026",26,"SaTPS3026"
"Sa_TPS 3043",2,0,"ST_Bin","threshold","S. aureus (SaTPS3043)","SaTPS3043",18,"SaTPS3043"
"Sa_TPS 3072",2,0,"ST_Bin","threshold","S. aureus (SaTPS3072)","SaTPS3072",45,"SaTPS3072"
"Sa_TPS 3097",2,0,"ST_Bin","threshold","S. aureus (SaTPS3097)","SaTPS3097",61,"SaTPS3097"
"Sa_TPS 3104",2,0,"ST_Bin","threshold","S. aureus (SaTPS3104)","SaTPS3104",25,"SaTPS3104"
"Sa_TPS 3105",2,0,"ST_Bin","threshold","S. aureus (SaTPS3105)","SaTPS3105",27,"SaTPS3105"
"MU1",2,1,"ST_Bin","threshold","S. aureus (MU1)","MU1",53,"MU1"
"MU2",2,1,"ST_Bin","threshold","S. aureus (MU2)","MU2",51,"MU2"
"DEU1",2,1,"ST_Bin","threshold","S. aureus (DEU1)","DEU1",52,"DEU1"
"DEU2",2,1,"ST_Bin","threshold","S. aureus (DEU2)","DEU2",50,"DEU2"
"HU25",2,1,"ST_Bin","threshold","S. aureus (HU25)","HU25",49,"HU25"
"P32",2,1,"ST_Bin","threshold","S. aureus (P32)","P32",48,"P32"
"13_S44_S9",2,1,"ST_Bin","threshold","S. aureus (13S44S9)*","13S44S9EO",56,"13S44S9EO"
"S. saprophyticus spp Bovis",2,1,"ST_Bin","threshold","S. saprophyticus spp bovis","DSM18669",12,"DSM18669"
"S. epidermidis",2,1,"ST_Bin","threshold","S. epidermidis","NCTC11047",16,"NCTC11047"
"S. schleiferi spp coagulans",2,0,"ST_Bin","threshold","S. schleiferi spp coagulans","NCTC12218",3,"NCTC12218"
"S. pseudoxylosus",2,1,"ST_Bin","threshold","S. pseudoxylosus","DSM107950",9,"DSM107950"
"S. edaphicus",2,1,"ST_Bin","threshold","S. ediphicus","DSM104441",11,"DSM104441"
"S. caeli",2,1,"ST_Bin","threshold","S. caeli","82B",10,"82B"
"S. xylosus",2,0,"ST_Bin","threshold","S. xylosus","NCTC11043",8,"NCTC11043"
"S. pseudointermedius",2,0,"ST_Bin","threshold","S. pseudointermedius","DSM21284",2,"DSM21284"
"S. saprophyticus spp saprophyticus",2,1,"ST_Bin","threshold","S. saprophyticus spp saprophyticus","NCTC7292",13,"NCTC7292"
"S. haemolyticus",2,0,"ST_Bin","threshold","S. haemolyticus","NCTC11042",15,"NCTC11042"
"S. simulans",2,1,"ST_Bin","threshold","S. simulans","NCTC11046",5,"NCTC11046"
"8325-4",2,1,"ST_Bin","threshold","S. aureus (8325-4)","83254",57,"83254"
"JW_31330_O_BHY_1",3,1,"ST_Bin","threshold","S. aureus (JW31330OBHY1)","JW31330OBHY1",38,"JW31330OBHY1"
"JW_31330_L_BHY_2",3,1,"ST_Bin","threshold","S. aureus (JW31330LBHY2)","JW31330LBHY2",37,"JW31330LBHY2"
"JW_30866_O BHY_3",3,1,"ST_Bin","threshold","S. aureus (JW30866OBHY3)","JW30866OBHY3",35,"JW30866OBHY3"
"B_142_S1",3,1,"ST_Bin","threshold","S. aureus (B142S1)","B142S1",47,"B142S1"
"B_128_S3",3,1,"ST_Bin","threshold","S. aureus (B128S3)","B128S3",46,"B128S3"
"AR_056_18_O1",3,1,"ST_Bin","threshold","S. aureus (AR05618O1)","AR05618O1",34,"AR05618O1"
"AR_05_S1",3,0,"ST_Bin","threshold","S. aureus (AR05S1)","AR05S1",30,"AR05S1"
"AR_039_18_O1",3,0,"ST_Bin","threshold","S. aureus (AR03918O1)","AR03918O1",32,"AR03918O1"
"SAR_10_18_S1",3,1,"ST_Bin","threshold","S. aureus (SAR1018S1)","SAR1018S1",54,"SAR1018S1"
"SAR_12_18_N_1",3,0,"ST_Bin","threshold","S. aureus (SAR1218N1)","SAR1218N1",33,"SAR1218N1"
"SAR_14_18_N1",3,1,"ST_Bin","threshold","S. aureus (SAR1418N1)","SAR1418N1",29,"SAR1418N1"
"DAR_09_18_1_3",3,0,"ST_Bin","threshold","S. aureus (DAR091813)","DAR091813",31,"DAR091813"
"2_7_1_Y",3,0,"ST_Bin","threshold","S. kloosii","271Y",6,"271Y"
"27_4_20_LC",3,0,"ST_Bin","threshold","S. simiae","27420LC",17,"27420LC"
"21_11_F7_LW",3,1,"ST_Bin","threshold","S. sciuri","2111F7LW",1,"2111F7LW"
"USFL008",3,0,"ST_Bin","threshold","S. aureus (USFL008)","USFL008",64,"USFL008"
"USFL009",3,0,"ST_Bin","threshold","S. aureus (USFL009)","USFL009",60,"USFL009"
"USFL012",3,0,"ST_Bin","threshold","S. aureus (USFL012)","USFL012",58,"USFL012"
"USFL016",3,0,"ST_Bin","threshold","S. aureus (USFL016)","USFL016",63,"USFL016"
"USFL018",3,0,"ST_Bin","threshold","S. aureus (USFL018)","USFL018",62,"USFL018"
"USFL020",3,0,"ST_Bin","threshold","S. aureus (USFL020)","USFL020",59,"USFL020"
"EOE 3",3,1,"ST_Bin","threshold","S. aureus (EOE003)","EOE003",22,"EOE003"
"EOE 23",3,1,"ST_Bin","threshold","S. aureus (EOE023)","EOE023",21,"EOE023"
"EOE 30",3,1,"ST_Bin","threshold","S. aureus (EOE030)","EOE030",23,"EOE030"
"EOE 35",3,1,"ST_Bin","threshold","S. aureus (EOE035)","EOE035",24,"EOE035"
"EOE 41",3,1,"ST_Bin","threshold","S. aureus (EOE041)","EOE041",19,"EOE041"
"EOE 42",3,1,"ST_Bin","threshold","S. aureus (EOE042)","EOE042",20,"EOE042"
"ASARM 61",3,1,"ST_Bin","threshold","S. aureus (ASARM61)","ASARM61",42,"ASARM61"
"ASARM 71",3,1,"ST_Bin","threshold","S. aureus (ASARM71)","ASARM71",43,"ASARM71"
"ASARM 72",3,1,"ST_Bin","threshold","S. aureus (ASARM72)","ASARM72",44,"ASARM72"
"ASARM 73",3,1,"ST_Bin","threshold","S. aureus (ASARM73)","ASARM73",39,"ASARM73"
"ASARM 74",3,1,"ST_Bin","threshold","S. aureus (ASARM74)","ASARM74",41,"ASARM74"
"Sa_TPS 3026 (JKD6159)",3,0,"ST_Bin","threshold","S. aureus (SaTPS3026)","SaTPS3026",26,"SaTPS3026"
"Sa_TPS 3043",3,0,"ST_Bin","threshold","S. aureus (SaTPS3043)","SaTPS3043",18,"SaTPS3043"
"Sa_TPS 3072",3,0,"ST_Bin","threshold","S. aureus (SaTPS3072)","SaTPS3072",45,"SaTPS3072"
"Sa_TPS 3097",3,0,"ST_Bin","threshold","S. aureus (SaTPS3097)","SaTPS3097",61,"SaTPS3097"
"Sa_TPS 3104",3,0,"ST_Bin","threshold","S. aureus (SaTPS3104)","SaTPS3104",25,"SaTPS3104"
"Sa_TPS 3105",3,0,"ST_Bin","threshold","S. aureus (SaTPS3105)","SaTPS3105",27,"SaTPS3105"
"MU1",3,0,"ST_Bin","threshold","S. aureus (MU1)","MU1",53,"MU1"
"MU2",3,1,"ST_Bin","threshold","S. aureus (MU2)","MU2",51,"MU2"
"DEU1",3,1,"ST_Bin","threshold","S. aureus (DEU1)","DEU1",52,"DEU1"
"HU25",3,1,"ST_Bin","threshold","S. aureus (HU25)","HU25",49,"HU25"
"S. hominis spp hominis",3,1,"ST_Bin","threshold","S. hominis","NCTC11320",14,"NCTC11320"
"S. schleiferi spp coagulans",3,0,"ST_Bin","threshold","S. schleiferi spp coagulans","NCTC12218",3,"NCTC12218"
"S. caeli",3,1,"ST_Bin","threshold","S. caeli","82B",10,"82B"
"S. xylosus",3,0,"ST_Bin","threshold","S. xylosus","NCTC11043",8,"NCTC11043"
"S. pseudointermedius",3,0,"ST_Bin","threshold","S. pseudointermedius","DSM21284",2,"DSM21284"
"S. saprophyticus spp saprophyticus",3,1,"ST_Bin","threshold","S. saprophyticus spp saprophyticus","NCTC7292",13,"NCTC7292"
"S. haemolyticus",3,0,"ST_Bin","threshold","S. haemolyticus","NCTC11042",15,"NCTC11042"
"S. simulans",3,0,"ST_Bin","threshold","S. simulans","NCTC11046",5,"NCTC11046"
"8325-4",3,1,"ST_Bin","threshold","S. aureus (8325-4)","83254",57,"83254"
"JW_31330_O_BHY_1",4,1,"ST_Bin","threshold","S. aureus (JW31330OBHY1)","JW31330OBHY1",38,"JW31330OBHY1"
"JW_31330_L_BHY_2",4,1,"ST_Bin","threshold","S. aureus (JW31330LBHY2)","JW31330LBHY2",37,"JW31330LBHY2"
"JW_30866_O BHY_3",4,1,"ST_Bin","threshold","S. aureus (JW30866OBHY3)","JW30866OBHY3",35,"JW30866OBHY3"
"B_142_S1",4,1,"ST_Bin","threshold","S. aureus (B142S1)","B142S1",47,"B142S1"
"B_128_S3",4,1,"ST_Bin","threshold","S. aureus (B128S3)","B128S3",46,"B128S3"
"AR_05_S1",4,0,"ST_Bin","threshold","S. aureus (AR05S1)","AR05S1",30,"AR05S1"
"AR_039_18_O1",4,0,"ST_Bin","threshold","S. aureus (AR03918O1)","AR03918O1",32,"AR03918O1"
"SAR_10_18_S1",4,1,"ST_Bin","threshold","S. aureus (SAR1018S1)","SAR1018S1",54,"SAR1018S1"
"SAR_12_18_N_1",4,0,"ST_Bin","threshold","S. aureus (SAR1218N1)","SAR1218N1",33,"SAR1218N1"
"DAR_04_18_1_C1",4,1,"ST_Bin","threshold","S. aureus (DAR04181C1)","DAR04181C1",55,"DAR04181C1"
"DAR_09_18_1_3",4,0,"ST_Bin","threshold","S. aureus (DAR091813)","DAR091813",31,"DAR091813"
"DAR_06_18_1_LC1",4,1,"ST_Bin","threshold","S. aureus (DAR06181LC1)","DAR06181LC1",28,"DAR06181LC1"
"2_7_1_Y",4,0,"ST_Bin","threshold","S. kloosii","271Y",6,"271Y"
"27_4_20_LC",4,0,"ST_Bin","threshold","S. simiae","27420LC",17,"27420LC"
"21_11_F7_LW",4,1,"ST_Bin","threshold","S. sciuri","2111F7LW",1,"2111F7LW"
"27_4_5_SW",4,1,"ST_Bin","threshold","S. napaliensis","2745SW",7,"2745SW"
"USFL008",4,0,"ST_Bin","threshold","S. aureus (USFL008)","USFL008",64,"USFL008"
"USFL009",4,0,"ST_Bin","threshold","S. aureus (USFL009)","USFL009",60,"USFL009"
"USFL012",4,0,"ST_Bin","threshold","S. aureus (USFL012)","USFL012",58,"USFL012"
"USFL016",4,0,"ST_Bin","threshold","S. aureus (USFL016)","USFL016",63,"USFL016"
"USFL018",4,0,"ST_Bin","threshold","S. aureus (USFL018)","USFL018",62,"USFL018"
"USFL020",4,0,"ST_Bin","threshold","S. aureus (USFL020)","USFL020",59,"USFL020"
"EOE 3",4,1,"ST_Bin","threshold","S. aureus (EOE003)","EOE003",22,"EOE003"
"EOE 23",4,1,"ST_Bin","threshold","S. aureus (EOE023)","EOE023",21,"EOE023"
"EOE 30",4,1,"ST_Bin","threshold","S. aureus (EOE030)","EOE030",23,"EOE030"
"EOE 35",4,1,"ST_Bin","threshold","S. aureus (EOE035)","EOE035",24,"EOE035"
"EOE 41",4,1,"ST_Bin","threshold","S. aureus (EOE041)","EOE041",19,"EOE041"
"EOE 42",4,1,"ST_Bin","threshold","S. aureus (EOE042)","EOE042",20,"EOE042"
"ASARM 61",4,1,"ST_Bin","threshold","S. aureus (ASARM61)","ASARM61",42,"ASARM61"
"ASARM 70",4,1,"ST_Bin","threshold","S. aureus (ASARM70)","ASARM70",40,"ASARM70"
"ASARM 71",4,1,"ST_Bin","threshold","S. aureus (ASARM71)","ASARM71",43,"ASARM71"
"ASARM 72",4,1,"ST_Bin","threshold","S. aureus (ASARM72)","ASARM72",44,"ASARM72"
"ASARM 73",4,1,"ST_Bin","threshold","S. aureus (ASARM73)","ASARM73",39,"ASARM73"
"ASARM 74",4,1,"ST_Bin","threshold","S. aureus (ASARM74)","ASARM74",41,"ASARM74"
"Sa_TPS 3026 (JKD6159)",4,0,"ST_Bin","threshold","S. aureus (SaTPS3026)","SaTPS3026",26,"SaTPS3026"
"Sa_TPS 3043",4,0,"ST_Bin","threshold","S. aureus (SaTPS3043)","SaTPS3043",18,"SaTPS3043"
"Sa_TPS 3072",4,0,"ST_Bin","threshold","S. aureus (SaTPS3072)","SaTPS3072",45,"SaTPS3072"
"Sa_TPS 3097",4,0,"ST_Bin","threshold","S. aureus (SaTPS3097)","SaTPS3097",61,"SaTPS3097"
"Sa_TPS 3104",4,0,"ST_Bin","threshold","S. aureus (SaTPS3104)","SaTPS3104",25,"SaTPS3104"
"Sa_TPS 3105",4,0,"ST_Bin","threshold","S. aureus (SaTPS3105)","SaTPS3105",27,"SaTPS3105"
"MU1",4,1,"ST_Bin","threshold","S. aureus (MU1)","MU1",53,"MU1"
"MU2",4,1,"ST_Bin","threshold","S. aureus (MU2)","MU2",51,"MU2"
"DEU1",4,1,"ST_Bin","threshold","S. aureus (DEU1)","DEU1",52,"DEU1"
"DEU2",4,1,"ST_Bin","threshold","S. aureus (DEU2)","DEU2",50,"DEU2"
"HU25",4,1,"ST_Bin","threshold","S. aureus (HU25)","HU25",49,"HU25"
"P32",4,1,"ST_Bin","threshold","S. aureus (P32)","P32",48,"P32"
"13_S44_S9",4,1,"ST_Bin","threshold","S. aureus (13S44S9)*","13S44S9EO",56,"13S44S9EO"
"S. saprophyticus spp Bovis",4,1,"ST_Bin","threshold","S. saprophyticus spp bovis","DSM18669",12,"DSM18669"
"S. epidermidis",4,1,"ST_Bin","threshold","S. epidermidis","NCTC11047",16,"NCTC11047"
"S. hominis spp hominis",4,1,"ST_Bin","threshold","S. hominis","NCTC11320",14,"NCTC11320"
"S. schleiferi spp coagulans",4,0,"ST_Bin","threshold","S. schleiferi spp coagulans","NCTC12218",3,"NCTC12218"
"S. pseudoxylosus",4,1,"ST_Bin","threshold","S. pseudoxylosus","DSM107950",9,"DSM107950"
"S. edaphicus",4,1,"ST_Bin","threshold","S. ediphicus","DSM104441",11,"DSM104441"
"S. caeli",4,1,"ST_Bin","threshold","S. caeli","82B",10,"82B"
"S. xylosus",4,0,"ST_Bin","threshold","S. xylosus","NCTC11043",8,"NCTC11043"
"S. pseudointermedius",4,0,"ST_Bin","threshold","S. pseudointermedius","DSM21284",2,"DSM21284"
"S. saprophyticus spp saprophyticus",4,1,"ST_Bin","threshold","S. saprophyticus spp saprophyticus","NCTC7292",13,"NCTC7292"
"S. schleiferi spp schleiferi",4,1,"ST_Bin","threshold","S, schleiferi spp schleiferi","DSM6628",4,"DSM6628"
"S. haemolyticus",4,0,"ST_Bin","threshold","S. haemolyticus","NCTC11042",15,"NCTC11042"
"S. simulans",4,0,"ST_Bin","threshold","S. simulans","NCTC11046",5,"NCTC11046"
"8325-4",4,1,"ST_Bin","threshold","S. aureus (8325-4)","83254",57,"83254"
"JW_31330_L_BHY_2",5,1,"ST_Bin","threshold","S. aureus (JW31330LBHY2)","JW31330LBHY2",37,"JW31330LBHY2"
"JW 32660_O5",5,1,"ST_Bin","threshold","S. aureus (JW32660O5)","JW32660O5",36,"JW32660O5"
"B_142_S1",5,1,"ST_Bin","threshold","S. aureus (B142S1)","B142S1",47,"B142S1"
"B_128_S3",5,1,"ST_Bin","threshold","S. aureus (B128S3)","B128S3",46,"B128S3"
"AR_056_18_O1",5,1,"ST_Bin","threshold","S. aureus (AR05618O1)","AR05618O1",34,"AR05618O1"
"AR_05_S1",5,0,"ST_Bin","threshold","S. aureus (AR05S1)","AR05S1",30,"AR05S1"
"AR_039_18_O1",5,0,"ST_Bin","threshold","S. aureus (AR03918O1)","AR03918O1",32,"AR03918O1"
"SAR_10_18_S1",5,1,"ST_Bin","threshold","S. aureus (SAR1018S1)","SAR1018S1",54,"SAR1018S1"
"SAR_12_18_N_1",5,0,"ST_Bin","threshold","S. aureus (SAR1218N1)","SAR1218N1",33,"SAR1218N1"
"SAR_14_18_N1",5,1,"ST_Bin","threshold","S. aureus (SAR1418N1)","SAR1418N1",29,"SAR1418N1"
"DAR_04_18_1_C1",5,1,"ST_Bin","threshold","S. aureus (DAR04181C1)","DAR04181C1",55,"DAR04181C1"
"DAR_09_18_1_3",5,0,"ST_Bin","threshold","S. aureus (DAR091813)","DAR091813",31,"DAR091813"
"DAR_06_18_1_LC1",5,1,"ST_Bin","threshold","S. aureus (DAR06181LC1)","DAR06181LC1",28,"DAR06181LC1"
"2_7_1_Y",5,0,"ST_Bin","threshold","S. kloosii","271Y",6,"271Y"
"27_4_20_LC",5,0,"ST_Bin","threshold","S. simiae","27420LC",17,"27420LC"
"21_11_F7_LW",5,1,"ST_Bin","threshold","S. sciuri","2111F7LW",1,"2111F7LW"
"27_4_5_SW",5,1,"ST_Bin","threshold","S. napaliensis","2745SW",7,"2745SW"
"USFL008",5,0,"ST_Bin","threshold","S. aureus (USFL008)","USFL008",64,"USFL008"
"USFL009",5,0,"ST_Bin","threshold","S. aureus (USFL009)","USFL009",60,"USFL009"
"USFL012",5,0,"ST_Bin","threshold","S. aureus (USFL012)","USFL012",58,"USFL012"
"USFL016",5,0,"ST_Bin","threshold","S. aureus (USFL016)","USFL016",63,"USFL016"
"USFL018",5,0,"ST_Bin","threshold","S. aureus (USFL018)","USFL018",62,"USFL018"
"USFL020",5,0,"ST_Bin","threshold","S. aureus (USFL020)","USFL020",59,"USFL020"
"EOE 3",5,1,"ST_Bin","threshold","S. aureus (EOE003)","EOE003",22,"EOE003"
"EOE 23",5,1,"ST_Bin","threshold","S. aureus (EOE023)","EOE023",21,"EOE023"
"EOE 30",5,1,"ST_Bin","threshold","S. aureus (EOE030)","EOE030",23,"EOE030"
"EOE 35",5,1,"ST_Bin","threshold","S. aureus (EOE035)","EOE035",24,"EOE035"
